word,sentiment,category
mauve,virtues,concreteness
meatpacking,virtues,concreteness
military,virtues,concreteness
moist,virtues,concreteness
paraplegic,virtues,concreteness
pastel,virtues,concreteness
plump,virtues,concreteness
reclining,virtues,concreteness
solar,virtues,concreteness
sweet,virtues,concreteness
thick,virtues,concreteness
typewritten,virtues,concreteness
unpeeled,virtues,concreteness
collarless,virtues,concreteness
deceased,virtues,concreteness
hexagonal,virtues,concreteness
pointy,virtues,concreteness
springy,virtues,concreteness
steroid,virtues,concreteness
unbuckled,virtues,concreteness
cursive,virtues,concreteness
diagonal,virtues,concreteness
equestrian,virtues,concreteness
feathered,virtues,concreteness
flaming,virtues,concreteness
furry,virtues,concreteness
fuzzy,virtues,concreteness
hind,virtues,concreteness
humpbacked,virtues,concreteness
juicy,virtues,concreteness
pyrotechnic,virtues,concreteness
stormy,virtues,concreteness
woolly,virtues,concreteness
stationary,virtues,concreteness
slippery,virtues,concreteness
anesthetic,virtues,concreteness
balding,virtues,concreteness
bovine,virtues,concreteness
fecal,virtues,concreteness
frilly,virtues,concreteness
glittering,virtues,concreteness
greased,virtues,concreteness
handheld,virtues,concreteness
inflated,virtues,concreteness
interstate,virtues,concreteness
laminated,virtues,concreteness
moldy,virtues,concreteness
northeastern,virtues,concreteness
outdoor,virtues,concreteness
pink,virtues,concreteness
salty,virtues,concreteness
scrambled,virtues,concreteness
sculptured,virtues,concreteness
slim,virtues,concreteness
strapless,virtues,concreteness
volcanic,virtues,concreteness
watermarked,virtues,concreteness
watery,virtues,concreteness
braless,virtues,concreteness
bright,virtues,concreteness
deepwater,virtues,concreteness
fleshless,virtues,concreteness
forkful,virtues,concreteness
hardboiled,virtues,concreteness
metacarpal,virtues,concreteness
subtotal,virtues,concreteness
taut,virtues,concreteness
pickled,virtues,concreteness
frosty,virtues,concreteness
gated,virtues,concreteness
hooded,virtues,concreteness
jellied,virtues,concreteness
motorized,virtues,concreteness
phosphorous,virtues,concreteness
recycled,virtues,concreteness
round,virtues,concreteness
unsalted,virtues,concreteness
velvety,virtues,concreteness
academic,vices,concreteness
available,vices,concreteness
baseless,vices,concreteness
bottomless,vices,concreteness
cheap,vices,concreteness
collaborative,vices,concreteness
contingent,vices,concreteness
continuous,vices,concreteness
cruel,vices,concreteness
daunting,vices,concreteness
discreet,vices,concreteness
disdainful,vices,concreteness
distinct,vices,concreteness
dreaded,vices,concreteness
embarrassing,vices,concreteness
enticing,vices,concreteness
excellent,vices,concreteness
exclusive,vices,concreteness
exotic,vices,concreteness
fabled,vices,concreteness
fairer,vices,concreteness
fictional,vices,concreteness
glum,vices,concreteness
incorrigible,vices,concreteness
inhumane,vices,concreteness
innovating,vices,concreteness
logical,vices,concreteness
maneuverable,vices,concreteness
nonfunctional,vices,concreteness
noteworthy,vices,concreteness
philanthropic,vices,concreteness
picky,vices,concreteness
plentiful,vices,concreteness
powerless,vices,concreteness
problematic,vices,concreteness
quizzical,vices,concreteness
rejuvenated,vices,concreteness
reportable,vices,concreteness
repulsive,vices,concreteness
stigmatic,vices,concreteness
straitlaced,vices,concreteness
subservient,vices,concreteness
sultry,vices,concreteness
supplementary,vices,concreteness
