word,category,sentiment
principled,general_morality,virtues
proper,general_morality,virtues
properly,general_morality,virtues
righteous,general_morality,virtues
righteously,general_morality,virtues
righteousness,general_morality,virtues
transgress,general_morality,vices
transgression,general_morality,vices
transgressive,general_morality,vices
value,general_morality,virtues
worth,general_morality,virtues
worthiness,general_morality,virtues
worthington,general_morality,virtues
worthless,general_morality,virtues
worthwhile,general_morality,virtues
worthy,general_morality,virtues
wrong,general_morality,vices
wrongdo,general_morality,vices
wrongdoer,general_morality,vices
wrongdoing,general_morality,vices
wrongful,general_morality,vices
wrongfully,general_morality,vices
wronghead,general_morality,vices
wrongly,general_morality,vices
wrongness,general_morality,vices
abuse,harm,vices
abused,harm,vices
abuser,harm,vices
annihilate,harm,vices
attack,harm,vices
attacked,harm,vices
attacker,harm,vices
attacking,harm,vices
benefit,harm,virtues
benefited,harm,virtues
brutal,harm,vices
brutality,harm,vices
brutalize,harm,vices
brutalized,harm,vices
brutally,harm,vices
care,harm,virtues
carefree,harm,vices
careless,harm,vices
carelessly,harm,vices
carelessness,harm,vices
caring,harm,virtues
compassion,harm,virtues
compassionate,harm,virtues
compassionately,harm,virtues
cruel,harm,vices
cruelest,harm,vices
cruelly,harm,vices
cruelty,harm,vices
crush,harm,vices
crushed,harm,vices
damage,harm,vices
damaged,harm,vices
damaging,harm,vices
defence,harm,virtues
defend,harm,virtues
defendant,harm,virtues
defender,harm,virtues
defending,harm,virtues
defense,harm,virtues
defenseless,harm,virtues
defenseman,harm,virtues
defensible,harm,virtues
defensive,harm,virtues
defensively,harm,virtues
defensiveness,harm,virtues
destroy,harm,vices
destroyed,harm,vices
destroyer,harm,vices
detriment,harm,vices
detrimental,harm,vices
empathetic,harm,virtues
empathic,harm,virtues
empathize,harm,virtues
empathy,harm,virtues
endanger,harm,vices
endangerment,harm,vices
fight,harm,vices
fightback,harm,vices
fighter,harm,vices
fighting,harm,vices
guard,harm,virtues
guardsman,harm,virtues
harm,harm,vices
harman,harm,vices
harmed,harm,vices
harmful,harm,vices
harmless,harm,vices
harmlessly,harm,vices
harmon,harm,vices
harmonic,harm,vices
harmonica,harm,vices
harmonious,harm,vices
harmonize,harm,vices
harmony,harm,vices
hurt,harm,vices
hurtful,harm,vices
